article_id,indicator1,indicator2,indicator3
5e82308f0dc171d3c93e79f1,"('redflag11', tensor([[0.1136]]))","('redflag10', tensor([[0.1122]]))","('redflag17', tensor([[0.1114]]))"
5e82308f0dc171d3c93e79f0,"('redflag9', tensor([[0.1760]]))","('redflag11', tensor([[0.1718]]))","('redflag10', tensor([[0.1706]]))"
5e82308f0dc171d3c93e79ff,"('redflag9', tensor([[0.1440]]))","('redflag11', tensor([[0.1403]]))","('redflag10', tensor([[0.1375]]))"
5e82318d0dc171d3c93e7abe,"('redflag11', tensor([[0.0917]]))","('redflag10', tensor([[0.0795]]))","('redflag9', tensor([[0.0751]]))"
5e82308f0dc171d3c93e7a14,"('redflag10', tensor([[0.1278]]))","('redflag9', tensor([[0.1270]]))","('redflag11', tensor([[0.1233]]))"
5e8231450dc171d3c93e7a86,"('redflag9', tensor([[0.1737]]))","('redflag10', tensor([[0.1717]]))","('redflag11', tensor([[0.1704]]))"
5e8231450dc171d3c93e7a80,"('redflag14', tensor([[0.0657]]))","('redflag17', tensor([[0.0576]]))","('redflag16', tensor([[0.0524]]))"
5e82318d0dc171d3c93e7abf,"('redflag14', tensor([[0.1616]]))","('redflag17', tensor([[0.1580]]))","('redflag16', tensor([[0.1577]]))"
5e8231be0dc171d3c93e7ae8,"('redflag11', tensor([[0.0830]]))","('redflag10', tensor([[0.0791]]))","('redflag9', tensor([[0.0715]]))"
5e82308f0dc171d3c93e79fd,"('redflag9', tensor([[0.1205]]))","('redflag11', tensor([[0.1205]]))","('redflag10', tensor([[0.1161]]))"
5e8231be0dc171d3c93e7aeb,"('redflag16', tensor([[0.1140]]))","('redflag11', tensor([[0.0940]]))","('redflag10', tensor([[0.0915]]))"
5e8231450dc171d3c93e7a7b,"('redflag9', tensor([[0.1535]]))","('redflag11', tensor([[0.1493]]))","('redflag10', tensor([[0.1453]]))"
5e8231f20dc171d3c93e7afb,"('redflag18', tensor([[0.0909]]))","('redflag13', tensor([[0.0902]]))","('redflag6', tensor([[0.0871]]))"
5e8231450dc171d3c93e7a82,"('redflag11', tensor([[0.1421]]))","('redflag10', tensor([[0.1377]]))","('redflag9', tensor([[0.1218]]))"
5e82308f0dc171d3c93e7a16,"('redflag9', tensor([[0.1055]]))","('redflag10', tensor([[0.1024]]))","('redflag19', tensor([[0.0980]]))"
5e8231f20dc171d3c93e7b03,"('redflag14', tensor([[0.1813]]))","('redflag18', tensor([[0.1663]]))","('redflag16', tensor([[0.1628]]))"
5e82326a0dc171d3c93e7b31,"('redflag10', tensor([[0.0512]]))","('redflag11', tensor([[0.0486]]))","('redflag8', tensor([[0.0452]]))"
5e8232a30dc171d3c93e7b59,"('redflag17', tensor([[0.1779]]))","('redflag19', tensor([[0.1557]]))","('redflag18', tensor([[0.1550]]))"
5e82326a0dc171d3c93e7b37,"('redflag8', tensor([[0.0890]]))","('redflag10', tensor([[0.0803]]))","('redflag14', tensor([[0.0707]]))"
5e82322d0dc171d3c93e7b0f,"('redflag2', tensor([[0.0111]]))","('redflag10', tensor([[-0.0091]]))","('redflag3', tensor([[-0.0094]]))"
5e8232eb0dc171d3c93e7b8f,"('redflag9', tensor([[0.1329]]))","('redflag10', tensor([[0.1176]]))","('redflag17', tensor([[0.1046]]))"
5e8232bc0dc171d3c93e7b71,"('redflag14', tensor([[0.0664]]))","('redflag13', tensor([[0.0647]]))","('redflag11', tensor([[0.0587]]))"
5e8232eb0dc171d3c93e7b8b,"('redflag11', tensor([[0.1048]]))","('redflag7', tensor([[0.0956]]))","('redflag8', tensor([[0.0947]]))"
5e8233410dc171d3c93e7bb7,"('redflag10', tensor([[0.0611]]))","('redflag8', tensor([[0.0608]]))","('redflag11', tensor([[0.0573]]))"
5e8233410dc171d3c93e7bbe,"('redflag18', tensor([[0.0976]]))","('redflag14', tensor([[0.0954]]))","('redflag10', tensor([[0.0944]]))"
5e8233410dc171d3c93e7bb3,"('redflag10', tensor([[0.1213]]))","('redflag11', tensor([[0.1102]]))","('redflag14', tensor([[0.1099]]))"
5e82318d0dc171d3c93e7abd,"('redflag11', tensor([[0.0585]]))","('redflag17', tensor([[0.0574]]))","('redflag7', tensor([[0.0534]]))"
5e8233b50dc171d3c93e7bf9,"('redflag17', tensor([[0.1120]]))","('redflag16', tensor([[0.1028]]))","('redflag14', tensor([[0.0972]]))"
